,0
152,KIRC
153,KIRC
154,KIRC
155,KIRC
156,KIRC
157,KIRC
158,KIRC
159,KIRC
160,KIRC
161,KIRC
162,KIRC
163,KIRC
164,KIRC
165,KIRC
166,KIRC
167,KIRC
168,KIRC
169,KIRC
170,KIRC
171,KIRC
172,KIRC
173,KIRC
174,KIRC
175,KIRC
176,KIRC
177,KIRC
178,KIRC
179,KIRC
180,KIRC
181,KIRC
182,KIRC
183,KIRC
184,KIRC
185,KIRC
186,KIRC
187,KIRC
188,KIRC
189,KIRC
190,KIRC
191,KIRC
192,KIRC
193,KIRC
194,KIRC
195,KIRC
196,KIRC
197,KIRC
198,KIRC
199,KIRC
200,KIRC
201,KIRC
202,KIRC
203,KIRC
204,KIRC
205,KIRC
206,KIRC
207,KIRC
208,KIRC
209,KIRC
210,KIRC
211,KIRC
212,KIRC
213,KIRC
214,KIRC
215,KIRC
216,KIRC
217,KIRC
218,KIRC
219,KIRC
220,KIRC
221,KIRC
222,KIRC
223,KIRC
224,KIRC
225,KIRC
226,KIRC
227,KIRC
228,KIRC
229,KIRC
230,KIRC
231,KIRC
232,KIRC
233,KIRC
234,KIRC
235,KIRC
236,KIRC
237,KIRC
238,KIRC
239,KIRC
240,KIRC
241,KIRC
242,KIRC
243,KIRC
244,KIRC
245,KIRC
246,KIRC
247,KIRC
248,KIRC
249,KIRC
250,KIRC
251,KIRC
252,KIRC
253,KIRC
254,KIRC
255,KIRC
256,KIRC
257,KIRC
258,KIRC
259,KIRC
260,KIRC
261,KIRC
262,KIRC
263,KIRC
264,KIRC
265,KIRC
266,KIRC
267,KIRC
268,KIRC
269,KIRC
270,KIRC
271,KIRC
272,KIRC
273,KIRC
274,KIRC
275,KIRC
276,KIRC
277,KIRC
278,KIRC
279,KIRC
280,KIRC
281,KIRC
282,KIRC
283,KIRC
284,KIRC
285,KIRC
286,KIRC
287,KIRC
288,KIRC
289,KIRC
290,KIRC
291,KIRC
292,KIRC
293,KIRC
294,KIRC
295,KIRC
296,KIRC
297,KIRC
298,KIRC
299,KIRC
300,KIRC
301,KIRC
302,KIRC
303,KIRC
304,KIRC
305,KIRC
306,KIRC
307,KIRC
308,KIRC
309,KIRC
310,KIRC
311,KIRC
312,KIRC
313,KIRC
314,KIRC
315,KIRC
316,KIRC
317,KIRC
318,KIRC
319,KIRC
320,KIRC
321,KIRC
322,KIRC
323,KIRC
324,KIRC
325,KIRC
326,KIRC
327,KIRC
328,KIRC
329,KIRC
330,KIRC
331,KIRC
332,KIRC
333,KIRC
334,KIRC
335,KIRC
336,KIRC
337,KIRC
338,KIRC
339,KIRC
340,KIRC
341,KIRC
342,KIRC
343,KIRC
344,KIRC
345,KIRC
346,KIRC
347,KIRC
348,KIRC
349,KIRC
350,KIRC
351,KIRC
352,KIRC
353,KIRC
354,KIRC
355,KIRC
356,KIRC
357,KIRC
358,KIRC
359,KIRC
360,KIRC
361,KIRC
362,KIRC
363,KIRC
364,KIRC
365,KIRC
366,KIRC
367,KIRC
368,KIRC
369,KIRC
370,KIRC
371,KIRC
372,KIRC
373,KIRC
374,KIRC
375,KIRC
376,KIRC
377,KIRC
378,KIRC
379,KIRC
380,KIRC
381,KIRC
382,KIRC
383,KIRC
384,KIRC
385,KIRC
386,KIRC
387,KIRC
388,KIRC
389,KIRC
390,KIRC
391,KIRC
392,KIRC
393,KIRC
394,KIRC
395,KIRC
396,KIRC
397,KIRC
398,KIRC
399,KIRC
400,KIRC
401,KIRC
402,KIRC
403,KIRC
404,KIRC
405,KIRC
406,KIRC
407,KIRC
408,KIRC
409,KIRC
410,KIRC
411,KIRC
412,KIRC
413,KIRC
414,KIRC
415,KIRC
416,KIRC
417,KIRC
418,KIRC
419,KIRC
420,KIRC
421,KIRC
422,KIRC
423,KIRC
424,KIRC
425,KIRC
426,KIRC
427,KIRC
428,KIRC
429,KIRC
430,KIRC
431,KIRC
432,KIRC
433,KIRC
434,KIRC
435,KIRC
436,KIRC
437,KIRC
438,KIRC
439,KIRC
440,KIRC
441,KIRC
442,KIRC
443,KIRC
444,KIRC
445,KIRC
446,KIRC
447,KIRC
448,KIRC
449,KIRC
450,KIRC
451,KIRC
452,KIRC
453,KIRC
454,KIRC
455,KIRC
456,KIRC
457,KIRC
458,KIRC
459,KIRC
460,KIRC
461,KIRC
462,KIRC
463,KIRC
464,KIRC
465,KIRC
466,KIRC
467,KIRC
468,KIRC
469,KIRC
470,KIRC
471,KIRC
472,KIRC
473,KIRC
474,KIRC
475,KIRC
476,KIRC
477,KIRC
478,KIRC
479,KIRC
480,KIRC
481,KIRC
482,KIRC
483,KIRC
484,KIRC
485,KIRC
486,KIRC
487,KIRC
488,KIRC
489,KIRC
490,KIRC
491,KIRC
492,KIRC
493,KIRC
494,KIRC
495,KIRC
496,KIRC
497,KIRC
498,KIRC
499,KIRC
500,KIRC
501,KIRC
502,KIRC
503,KIRC
504,KIRC
505,KIRC
506,KIRC
507,KIRC
508,KIRC
509,KIRC
510,KIRC
511,KIRC
512,KIRC
513,KIRC
514,KIRC
515,KIRC
516,KIRC
517,KIRC
518,KIRC
519,KIRC
520,KIRC
521,KIRC
522,KIRC
523,KIRC
524,KIRC
525,KIRC
526,KIRC
527,KIRC
528,KIRC
529,KIRC
530,KIRC
531,KIRC
532,KIRC
533,KIRC
534,KIRC
535,KIRC
536,KIRC
537,KIRC
538,KIRC
539,KIRC
540,KIRP
541,KIRP
542,KIRP
543,KIRP
544,KIRP
545,KIRP
546,KIRP
547,KIRP
548,KIRP
549,KIRP
550,KIRP
551,KIRP
552,KIRP
553,KIRP
554,KIRP
555,KIRP
556,KIRP
557,KIRP
558,KIRP
559,KIRP
560,KIRP
561,KIRP
562,KIRP
563,KIRP
564,KIRP
565,KIRP
566,KIRP
567,KIRP
568,KIRP
569,KIRP
570,KIRP
571,KIRP
572,KIRP
573,KIRP
574,KIRP
575,KIRP
576,KIRP
577,KIRP
578,KIRP
579,KIRP
580,KIRP
581,KIRP
582,KIRP
583,KIRP
584,KIRP
585,KIRP
586,KIRP
587,KIRP
588,KIRP
589,KIRP
590,KIRP
591,KIRP
592,KIRP
593,KIRP
594,KIRP
595,KIRP
596,KIRP
597,KIRP
598,KIRP
599,KIRP
600,KIRP
601,KIRP
602,KIRP
603,KIRP
604,KIRP
605,KIRP
606,KIRP
607,KIRP
608,KIRP
609,KIRP
610,KIRP
611,KIRP
612,KIRP
613,KIRP
614,KIRP
615,KIRP
616,KIRP
617,KIRP
618,KIRP
619,KIRP
620,KIRP
621,KIRP
622,KIRP
623,KIRP
624,KIRP
625,KIRP
626,KIRP
627,KIRP
628,KIRP
629,KIRP
630,KIRP
631,KIRP
632,KIRP
633,KIRP
634,KIRP
635,KIRP
636,KIRP
637,KIRP
638,KIRP
639,KIRP
640,KIRP
641,KIRP
642,KIRP
643,KIRP
644,KIRP
645,KIRP
646,KIRP
647,KIRP
648,KIRP
649,KIRP
650,KIRP
651,KIRP
652,KIRP
653,KIRP
654,KIRP
655,KIRP
656,KIRP
657,KIRP
658,KIRP
659,KIRP
660,KIRP
661,KIRP
662,KIRP
663,KIRP
664,KIRP
665,KIRP
666,KIRP
667,KIRP
668,KIRP
669,KIRP
670,KIRP
671,KIRP
672,KIRP
673,KIRP
674,KIRP
675,KIRP
676,KIRP
677,KIRP
678,KIRP
679,KIRP
680,KIRP
681,KIRP
682,KIRP
683,KIRP
684,KIRP
685,KIRP
686,KIRP
687,KIRP
688,KIRP
689,KIRP
690,KIRP
691,KIRP
692,KIRP
693,KIRP
694,KIRP
695,KIRP
696,KIRP
697,KIRP
698,KIRP
699,KIRP
700,KIRP
701,KIRP
702,KIRP
703,KIRP
704,KIRP
705,KIRP
706,KIRP
707,KIRP
708,KIRP
709,KIRP
710,KIRP
711,KIRP
712,KIRP
713,KIRP
714,KIRP
715,KIRP
716,KIRP
717,KIRP
718,KIRP
719,KIRP
720,KIRP
721,KIRP
722,KIRP
723,KIRP
724,KIRP
725,KIRP
726,KIRP
727,KIRP
728,KIRP
729,KIRP
730,KIRP
731,KIRP
732,KIRP
733,KIRP
734,KIRP
735,KIRP
736,KIRP
737,KIRP
738,KIRP
739,KIRP
740,KIRP
741,KIRP
742,KIRP
743,KIRP
744,KIRP
745,KIRP
746,KIRP
747,KIRP
748,KIRP
749,KIRP
750,KIRP
751,KIRP
752,KIRP
753,KIRP
754,KIRP
755,KIRP
756,KIRP
757,KIRP
758,KIRP
759,KIRP
760,KIRP
761,KIRP
762,KIRP
763,KIRP
764,KIRP
765,KIRP
766,KIRP
767,KIRP
768,KIRP
769,KIRP
770,KIRP
771,KIRP
772,KIRP
773,KIRP
774,KIRP
775,KIRP
776,KIRP
777,KIRP
778,KIRP
779,KIRP
780,KIRP
781,KIRP
782,KIRP
783,KIRP
784,KIRP
785,KIRP
786,KIRP
787,KIRP
788,KIRP
789,KIRP
790,KIRP
791,KIRP
792,KIRP
793,KIRP
794,KIRP
795,KIRP
796,KIRP
797,KIRP
798,KIRP
799,KIRP
800,KIRP
801,KIRP
802,KIRP
803,KIRP
804,KIRP
805,KIRP
806,KIRP
807,KIRP
808,KIRP
809,KIRP
810,KIRP
811,KIRP
812,KIRP
813,KIRP
814,KIRP
815,KIRP
816,KIRP
817,KIRP
818,KIRP
819,KIRP
820,KIRP
821,KIRP
822,KIRP
823,KIRP
824,KIRP
825,KIRP
826,KIRP
827,KIRP
828,KIRP
829,KIRP
830,LUAD
831,LUAD
832,LUAD
833,LUAD
834,LUAD
835,LUAD
836,LUAD
837,LUAD
838,LUAD
839,LUAD
840,LUAD
841,LUAD
842,LUAD
843,LUAD
844,LUAD
845,LUAD
846,LUAD
847,LUAD
848,LUAD
849,LUAD
850,LUAD
851,LUAD
852,LUAD
853,LUAD
854,LUAD
855,LUAD
856,LUAD
857,LUAD
858,LUAD
859,LUAD
860,LUAD
861,LUAD
862,LUAD
863,LUAD
864,LUAD
865,LUAD
866,LUAD
867,LUAD
868,LUAD
869,LUAD
870,LUAD
871,LUAD
872,LUAD
873,LUAD
874,LUAD
875,LUAD
876,LUAD
877,LUAD
878,LUAD
879,LUAD
880,LUAD
881,LUAD
882,LUAD
883,LUAD
884,LUAD
885,LUAD
886,LUAD
887,LUAD
888,LUAD
889,LUAD
890,LUAD
891,LUAD
892,LUAD
893,LUAD
894,LUAD
895,LUAD
896,LUAD
897,LUAD
898,LUAD
899,LUAD
900,LUAD
901,LUAD
902,LUAD
903,LUAD
904,LUAD
905,LUAD
906,LUAD
907,LUAD
908,LUAD
909,LUAD
910,LUAD
911,LUAD
912,LUAD
913,LUAD
914,LUAD
915,LUAD
916,LUAD
917,LUAD
918,LUAD
919,LUAD
920,LUAD
921,LUAD
922,LUAD
923,LUAD
924,LUAD
925,LUAD
926,LUAD
927,LUAD
928,LUAD
929,LUAD
930,LUAD
931,LUAD
932,LUAD
933,LUAD
934,LUAD
935,LUAD
936,LUAD
937,LUAD
938,LUAD
939,LUAD
940,LUAD
941,LUAD
942,LUAD
943,LUAD
944,LUAD
945,LUAD
946,LUAD
947,LUAD
948,LUAD
949,LUAD
950,LUAD
951,LUAD
952,LUAD
953,LUAD
954,LUAD
955,LUAD
956,LUAD
957,LUAD
958,LUAD
959,LUAD
960,LUAD
961,LUAD
962,LUAD
963,LUAD
964,LUAD
965,LUAD
966,LUAD
967,LUAD
968,LUAD
969,LUAD
970,LUAD
971,LUAD
972,LUAD
973,LUAD
974,LUAD
975,LUAD
976,LUAD
977,LUAD
978,LUAD
979,LUAD
980,LUAD
981,LUAD
982,LUAD
983,LUAD
984,LUAD
985,LUAD
986,LUAD
987,LUAD
988,LUAD
989,LUAD
990,LUAD
991,LUAD
992,LUAD
993,LUAD
994,LUAD
995,LUAD
996,LUAD
997,LUAD
998,LUAD
999,LUAD
1000,LUAD
1001,LUAD
1002,LUAD
1003,LUAD
1004,LUAD
1005,LUAD
1006,LUAD
1007,LUAD
1008,LUAD
1009,LUAD
1010,LUAD
1011,LUAD
1012,LUAD
1013,LUAD
1014,LUAD
1015,LUAD
1016,LUAD
1017,LUAD
1018,LUAD
1019,LUAD
1020,LUAD
1021,LUAD
1022,LUAD
1023,LUAD
1024,LUAD
1025,LUAD
1026,LUAD
1027,LUAD
1028,LUAD
1029,LUAD
1030,LUAD
1031,LUAD
1032,LUAD
1033,LUAD
1034,LUAD
1035,LUAD
1036,LUAD
1037,LUAD
1038,LUAD
1039,LUAD
1040,LUAD
1041,LUAD
1042,LUAD
1043,LUAD
1044,LUAD
1045,LUAD
1046,LUAD
1047,LUAD
1048,LUAD
1049,LUAD
1050,LUAD
1051,LUAD
1052,LUAD
1053,LUAD
1054,LUAD
1055,LUAD
1056,LUAD
1057,LUAD
1058,LUAD
1059,LUAD
1060,LUAD
1061,LUAD
1062,LUAD
1063,LUAD
1064,LUAD
1065,LUAD
1066,LUAD
1067,LUAD
1068,LUAD
1069,LUAD
1070,LUAD
1071,LUAD
1072,LUAD
1073,LUAD
1074,LUAD
1075,LUAD
1076,LUAD
1077,LUAD
1078,LUAD
1079,LUAD
1080,LUAD
1081,LUAD
1082,LUAD
1083,LUAD
1084,LUAD
1085,LUAD
1086,LUAD
1087,LUAD
1088,LUAD
1089,LUAD
1090,LUAD
1091,LUAD
1092,LUAD
1093,LUAD
1094,LUAD
1095,LUAD
1096,LUAD
1097,LUAD
1098,LUAD
1099,LUAD
1100,LUAD
1101,LUAD
1102,LUAD
1103,LUAD
1104,LUAD
1105,LUAD
1106,LUAD
1107,LUAD
1108,LUAD
1109,LUAD
1110,LUAD
1111,LUAD
1112,LUAD
1113,LUAD
1114,LUAD
1115,LUAD
1116,LUAD
1117,LUAD
1118,LUAD
1119,LUAD
1120,LUAD
1121,LUAD
1122,LUAD
1123,LUAD
1124,LUAD
1125,LUAD
1126,LUAD
1127,LUAD
1128,LUAD
1129,LUAD
1130,LUAD
1131,LUAD
1132,LUAD
1133,LUAD
1134,LUAD
1135,LUAD
1136,LUAD
1137,LUAD
1138,LUAD
1139,LUAD
1140,LUAD
1141,LUAD
1142,LUAD
1143,LUAD
1144,LUAD
1145,LUAD
1146,LUAD
1147,LUAD
1148,LUAD
1149,LUAD
1150,LUAD
1151,LUAD
1152,LUAD
1153,LUAD
1154,LUAD
1155,LUAD
1156,LUAD
1157,LUAD
1158,LUAD
1159,LUAD
1160,LUAD
1161,LUAD
1162,LUAD
1163,LUAD
1164,LUAD
1165,LUAD
1166,LUAD
1167,LUAD
1168,LUAD
1169,LUAD
1170,LUAD
1171,LUAD
1172,LUAD
1173,LUAD
1174,LUAD
1175,LUAD
1176,LUAD
1177,LUAD
1178,LUAD
1179,LUAD
1180,LUAD
1181,LUAD
1182,LUAD
1183,LUAD
1184,LUAD
1185,LUAD
1186,LUAD
1187,LUAD
1188,LUAD
1189,LUAD
1190,LUAD
1191,LUAD
1192,LUAD
1193,LUAD
1194,LUAD
1195,LUAD
1196,LUAD
1197,LUAD
1198,LUAD
1199,LUAD
1200,LUAD
1201,LUAD
1202,LUAD
1203,LUAD
1204,LUAD
1205,LUAD
1206,LUAD
1207,LUAD
1208,LUAD
1209,LUAD
1210,LUAD
1211,LUAD
1212,LUAD
1213,LUAD
1214,LUAD
1215,LUAD
1216,LUAD
1217,LUAD
1218,LUAD
1219,LUAD
1220,LUAD
1221,LUAD
1222,LUAD
1223,LUAD
1224,LUAD
1225,LUAD
1226,LUAD
1227,LUAD
1228,LUAD
1229,LUAD
1230,LUAD
1231,LUAD
1232,LUAD
1233,LUAD
1234,LUAD
1235,LUAD
1236,LUAD
1237,LUAD
1238,LUAD
1239,LUAD
1240,LUAD
1241,LUAD
1242,LUAD
1243,LUAD
1244,LUAD
1245,LUAD
1246,LUAD
1247,LUAD
1248,LUAD
1249,LUAD
1250,LUAD
1251,LUAD
1252,LUAD
1253,LUAD
1254,LUAD
1255,LUAD
1256,LUAD
1257,LUAD
1258,LUAD
1259,LUAD
1260,LUAD
1261,LUAD
1262,LUAD
1263,LUAD
1264,LUAD
1265,LUAD
1266,LUAD
1267,LUAD
1268,LUAD
1269,LUAD
1270,LUAD
1271,LUAD
1272,LUAD
1273,LUAD
1274,LUAD
1275,LUAD
1276,LUAD
1277,LUAD
1278,LUAD
1279,LUAD
1280,LUAD
1281,LUAD
1282,LUAD
1283,LUAD
1284,LUAD
1285,LUAD
1286,LUAD
1287,LUAD
1288,LUAD
1289,LUAD
1290,LUAD
1291,LUAD
1292,LUAD
1293,LUAD
1294,LUAD
1295,LUAD
1296,LUAD
1297,LUAD
1298,LUAD
1299,LUAD
1300,LUAD
1301,LUAD
1302,LUAD
1303,LUAD
1304,LUAD
1305,LUAD
1306,LUAD
1307,LUAD
1308,LUAD
1309,LUAD
1310,LUAD
1311,LUAD
1312,LUAD
1313,LUAD
1314,LUAD
1315,LUAD
1316,LUAD
1317,LUAD
1318,LUAD
1319,LUAD
1320,LUAD
1321,LUAD
1322,LUAD
1323,LUAD
1324,LUAD
1325,LUAD
1326,LUAD
1327,LUAD
1328,LUAD
1329,LUAD
1330,LUAD
1331,LUAD
1332,LUAD
1333,LUAD
1334,LUAD
1335,LUAD
1336,LUAD
1337,LUAD
1338,LUAD
1339,LUAD
1340,LUAD
1341,LUAD
1342,LUAD
1343,LUAD
1344,LUAD
1345,LUAD
1346,LUAD
1347,LUAD
1348,LUAD
1349,LUAD
1350,LUAD
1351,LUAD
1352,LUAD
1353,LUAD
1354,LUAD
1355,LUAD
1356,LUAD
1357,LUAD
1358,LUAD
1359,LUAD
1360,LUAD
1361,LUAD
1362,LUAD
1363,LUAD
1364,LUAD
1365,LUAD
1366,LUAD
1367,LUSC
1368,LUSC
1369,LUSC
1370,LUSC
1371,LUSC
1372,LUSC
1373,LUSC
1374,LUSC
1375,LUSC
1376,LUSC
1377,LUSC
1378,LUSC
1379,LUSC
1380,LUSC
1381,LUSC
1382,LUSC
1383,LUSC
1384,LUSC
1385,LUSC
1386,LUSC
1387,LUSC
1388,LUSC
1389,LUSC
1390,LUSC
1391,LUSC
1392,LUSC
1393,LUSC
1394,LUSC
1395,LUSC
1396,LUSC
1397,LUSC
1398,LUSC
1399,LUSC
1400,LUSC
1401,LUSC
1402,LUSC
1403,LUSC
1404,LUSC
1405,LUSC
1406,LUSC
1407,LUSC
1408,LUSC
1409,LUSC
1410,LUSC
1411,LUSC
1412,LUSC
1413,LUSC
1414,LUSC
1415,LUSC
1416,LUSC
1417,LUSC
1418,LUSC
1419,LUSC
1420,LUSC
1421,LUSC
1422,LUSC
1423,LUSC
1424,LUSC
1425,LUSC
1426,LUSC
1427,LUSC
1428,LUSC
1429,LUSC
1430,LUSC
1431,LUSC
1432,LUSC
1433,LUSC
1434,LUSC
1435,LUSC
1436,LUSC
1437,LUSC
1438,LUSC
1439,LUSC
1440,LUSC
1441,LUSC
1442,LUSC
1443,LUSC
1444,LUSC
1445,LUSC
1446,LUSC
1447,LUSC
1448,LUSC
1449,LUSC
1450,LUSC
1451,LUSC
1452,LUSC
1453,LUSC
1454,LUSC
1455,LUSC
1456,LUSC
1457,LUSC
1458,LUSC
1459,LUSC
1460,LUSC
1461,LUSC
1462,LUSC
1463,LUSC
1464,LUSC
1465,LUSC
1466,LUSC
1467,LUSC
1468,LUSC
1469,LUSC
1470,LUSC
1471,LUSC
1472,LUSC
1473,LUSC
1474,LUSC
1475,LUSC
1476,LUSC
1477,LUSC
1478,LUSC
1479,LUSC
1480,LUSC
1481,LUSC
1482,LUSC
1483,LUSC
1484,LUSC
1485,LUSC
1486,LUSC
1487,LUSC
1488,LUSC
1489,LUSC
1490,LUSC
1491,LUSC
1492,LUSC
1493,LUSC
1494,LUSC
1495,LUSC
1496,LUSC
1497,LUSC
1498,LUSC
1499,LUSC
1500,LUSC
1501,LUSC
1502,LUSC
1503,LUSC
1504,LUSC
1505,LUSC
1506,LUSC
1507,LUSC
1508,LUSC
1509,LUSC
1510,LUSC
1511,LUSC
1512,LUSC
1513,LUSC
1514,LUSC
1515,LUSC
1516,LUSC
1517,LUSC
1518,LUSC
1519,LUSC
1520,LUSC
1521,LUSC
1522,LUSC
1523,LUSC
1524,LUSC
1525,LUSC
1526,LUSC
1527,LUSC
1528,LUSC
1529,LUSC
1530,LUSC
1531,LUSC
1532,LUSC
1533,LUSC
1534,LUSC
1535,LUSC
1536,LUSC
1537,LUSC
1538,LUSC
1539,LUSC
1540,LUSC
1541,LUSC
1542,LUSC
1543,LUSC
1544,LUSC
1545,LUSC
1546,LUSC
1547,LUSC
1548,LUSC
1549,LUSC
1550,LUSC
1551,LUSC
1552,LUSC
1553,LUSC
1554,LUSC
1555,LUSC
1556,LUSC
1557,LUSC
1558,LUSC
1559,LUSC
1560,LUSC
1561,LUSC
1562,LUSC
1563,LUSC
1564,LUSC
1565,LUSC
1566,LUSC
1567,LUSC
1568,LUSC
1569,LUSC
1570,LUSC
1571,LUSC
1572,LUSC
1573,LUSC
1574,LUSC
1575,LUSC
1576,LUSC
1577,LUSC
1578,LUSC
1579,LUSC
1580,LUSC
1581,LUSC
1582,LUSC
1583,LUSC
1584,LUSC
1585,LUSC
1586,LUSC
1587,LUSC
1588,LUSC
1589,LUSC
1590,LUSC
1591,LUSC
1592,LUSC
1593,LUSC
1594,LUSC
1595,LUSC
1596,LUSC
1597,LUSC
1598,LUSC
1599,LUSC
1600,LUSC
1601,LUSC
1602,LUSC
1603,LUSC
1604,LUSC
1605,LUSC
1606,LUSC
1607,LUSC
1608,LUSC
1609,LUSC
1610,LUSC
1611,LUSC
1612,LUSC
1613,LUSC
1614,LUSC
1615,LUSC
1616,LUSC
1617,LUSC
1618,LUSC
1619,LUSC
1620,LUSC
1621,LUSC
1622,LUSC
1623,LUSC
1624,LUSC
1625,LUSC
1626,LUSC
1627,LUSC
1628,LUSC
1629,LUSC
1630,LUSC
1631,LUSC
1632,LUSC
1633,LUSC
1634,LUSC
1635,LUSC
1636,LUSC
1637,LUSC
1638,LUSC
1639,LUSC
1640,LUSC
1641,LUSC
1642,LUSC
1643,LUSC
1644,LUSC
1645,LUSC
1646,LUSC
1647,LUSC
1648,LUSC
1649,LUSC
1650,LUSC
1651,LUSC
1652,LUSC
1653,LUSC
1654,LUSC
1655,LUSC
1656,LUSC
1657,LUSC
1658,LUSC
1659,LUSC
1660,LUSC
1661,LUSC
1662,LUSC
1663,LUSC
1664,LUSC
1665,LUSC
1666,LUSC
1667,LUSC
1668,LUSC
1669,LUSC
1670,LUSC
1671,LUSC
1672,LUSC
1673,LUSC
1674,LUSC
1675,LUSC
1676,LUSC
1677,LUSC
1678,LUSC
1679,LUSC
1680,LUSC
1681,LUSC
1682,LUSC
1683,LUSC
1684,LUSC
1685,LUSC
1686,LUSC
1687,LUSC
1688,LUSC
1689,LUSC
1690,LUSC
1691,LUSC
1692,LUSC
1693,LUSC
1694,LUSC
1695,LUSC
1696,LUSC
1697,LUSC
1698,LUSC
1699,LUSC
1700,LUSC
1701,LUSC
1702,LUSC
1703,LUSC
1704,LUSC
1705,LUSC
1706,LUSC
1707,LUSC
1708,LUSC
1709,LUSC
1710,LUSC
1711,LUSC
1712,LUSC
1713,LUSC
1714,LUSC
1715,LUSC
1716,LUSC
1717,LUSC
1718,LUSC
1719,LUSC
1720,LUSC
1721,LUSC
1722,LUSC
1723,LUSC
1724,LUSC
1725,LUSC
1726,LUSC
1727,LUSC
1728,LUSC
1729,LUSC
1730,LUSC
1731,LUSC
1732,LUSC
1733,LUSC
1734,LUSC
1735,LUSC
1736,LUSC
1737,LUSC
1738,LUSC
1739,LUSC
1740,LUSC
1741,LUSC
1742,LUSC
1743,LUSC
1744,LUSC
1745,LUSC
1746,LUSC
1747,LUSC
1748,LUSC
1749,LUSC
1750,LUSC
1751,LUSC
1752,LUSC
1753,LUSC
1754,LUSC
1755,LUSC
1756,LUSC
1757,LUSC
1758,LUSC
1759,LUSC
1760,LUSC
1761,LUSC
1762,LUSC
1763,LUSC
1764,LUSC
1765,LUSC
1766,LUSC
1767,LUSC
1768,LUSC
1769,LUSC
1770,LUSC
1771,LUSC
1772,LUSC
1773,LUSC
1774,LUSC
1775,LUSC
1776,LUSC
1777,LUSC
1778,LUSC
1779,LUSC
1780,LUSC
1781,LUSC
1782,LUSC
1783,LUSC
1784,LUSC
1785,LUSC
1786,LUSC
1787,LUSC
1788,LUSC
1789,LUSC
1790,LUSC
1791,LUSC
1792,LUSC
1793,LUSC
1794,LUSC
1795,LUSC
1796,LUSC
1797,LUSC
1798,LUSC
1799,LUSC
1800,LUSC
1801,LUSC
1802,LUSC
1803,LUSC
1804,LUSC
1805,LUSC
1806,LUSC
1807,LUSC
1808,LUSC
1809,LUSC
1810,LUSC
1811,LUSC
1812,LUSC
1813,LUSC
1814,LUSC
1815,LUSC
1816,LUSC
1817,LUSC
1818,LUSC
1819,LUSC
1820,LUSC
1821,LUSC
1822,LUSC
1823,LUSC
1824,LUSC
1825,LUSC
1826,LUSC
1827,LUSC
1828,LUSC
1829,LUSC
1830,LUSC
1831,LUSC
1832,LUSC
1833,LUSC
1834,LUSC
1835,LUSC
1836,LUSC
1837,LUSC
1838,LUSC
1839,LUSC
1840,LUSC
1841,LUSC
1842,LUSC
1843,LUSC
1844,LUSC
1845,LUSC
1846,LUSC
1847,LUSC
1848,LUSC
1849,LUSC
1850,LUSC
1851,LUSC
1852,LUSC
1853,LUSC
1854,LUSC
1855,LUSC
1856,LUSC
1857,LUSC
1858,LUSC
1859,LUSC
1860,LUSC
1861,LUSC
1862,LUSC
1863,LUSC
1864,LUSC
1865,LUSC
1866,LUSC
1867,LUSC
1868,LUSC
